"","date","observed","estmate","estmate.l","estmate.h","table_phase"
"1",2020-03-18,"10",7.29436224414309,0.00645631508720516,44.6973077481763,"Training"
"2",2020-03-19,"3",9.05430496235807,0.00614106187366228,55.3350310725813,"Training"
"3",2020-03-20,"27",11.2413819106099,0.00580490882755305,68.4821819312257,"Training"
"4",2020-03-21,"23",13.9499252464867,0.00545698947935402,84.6810952009451,"Training"
"5",2020-03-22,"42",17.2741951626313,0.00510343515511042,104.484090612267,"Training"
"6",2020-03-23,"37",21.2870096454207,0.00475141993660363,128.331943395883,"Training"
"7",2020-03-24,"59",26.0213355181705,0.00440185342849237,156.436990997502,"Training"
"8",2020-03-25,"107",31.4470302718081,0.00406152530361448,188.650599054296,"Training"
"9",2020-03-26,"107",37.4950275593448,0.00373584903955337,224.586697965821,"Training"
"10",2020-03-27,"103",44.0286955038345,0.00342130436732399,263.46973646385,"Training"
"11",2020-03-28,"247",50.9016314516339,0.00312065392567082,304.468077959839,"Training"
"12",2020-03-29,"183",57.9289722206502,0.00283561911888864,346.502729175035,"Training"
"13",2020-03-30,"259",64.9240134879363,0.00256790808040817,388.47563862998,"Training"
"14",2020-03-31,"326",71.7161574304214,0.00231879091044125,429.392221147123,"Training"
"15",2020-04-01,"391",78.1639027626313,0.0020847028088335,468.410330089052,"Validation"
"16",2020-04-02,"432",84.1186907748985,0.00186959479005104,504.644247455469,"Validation"
"17",2020-04-03,"562",89.499271850703,0.00167087025810372,537.582607047509,"Validation"
"18",2020-04-04,"633",94.2004622501764,0.00148954762220914,566.608583751811,"Validation"
"19",2020-04-05,"593",98.2181963562063,0.00132308975594527,591.667621120796,"Validation"
"20",2020-04-06,"597",101.474051621331,0.00117137054743457,612.259153391496,"Validation"
"21",2020-04-07,"805",103.995932331604,0.00103541307481114,628.52832991268,"Validation"
"22",2020-04-08,"705",105.799887564546,0.000912293066776756,640.541469326312,"Validation"
"23",2020-04-09,"799",106.918783661181,0.000802068182794162,648.468103690777,"Validation"
"24",2020-04-10,"777",107.380745545696,0.000702965959907693,652.478967589276,"Validation"
"25",2020-04-11,"783",107.269192682118,0.000614708680853625,652.999363521387,"Validation"
"26",2020-04-12,"758",106.562651917434,0.000536668110826172,649.913139176734,"Validation"
"27",2020-04-13,"671",105.426683149392,0.000467037347994178,644.185644576265,"Validation"
"28",2020-04-14,"778",103.834284587866,0.000405440040234336,635.641889263354,"Validation"
"29",2020-04-15,"752",101.882556129264,0.000351048352472148,624.860162189133,"Validation"
"30",2020-04-16,"606",99.614901906061,0.000303491103054276,612.064990908929,"Validation"
"31",2020-04-17,"630",97.0631402008428,0.000262365370329925,597.467536982517,"Validation"
"32",2020-04-18,"540",94.3341729927154,0.000225766428462802,581.685110930032,"Validation"
"33",2020-04-19,"507",91.4277705157402,0.000194200620946079,564.701078830404,"Validation"
"34",2020-04-20,"478",88.4182727652411,0.000166432389236936,546.990259760121,"Validation"
"35",2020-04-21,"481",85.352132690019,0.000142460823654567,528.834537456492,"Validation"
"36",2020-04-22,"474",82.2273332137615,0.000121818246433752,510.210249383423,"Validation"
"37",2020-04-23,"438",79.068663704102,0.0001035460382268,491.276913782006,"Validation"
"38",2020-04-24,"422",75.9230311044717,8.8153349771235e-05,472.317565829163,"Validation"
"39",2020-04-25,"437",72.7952559511896,7.4821687611525e-05,453.377542520874,"Validation"
"40",2020-04-26,"NA",69.7219937472326,6.34761700884886e-05,434.677154072963,"Validation"
"41",2020-04-27,"NA",66.6950246181643,5.39182412024032e-05,416.176498512439,"Validation"
"42",2020-04-28,"NA",63.7469870227282,4.56297133201096e-05,398.075170391871,"Validation"
"43",2020-04-29,"NA",60.8733804775579,3.85961298937828e-05,380.361672769042,"Validation"
"44",2020-04-30,"NA",58.0941342785698,3.24814428568192e-05,363.164237944025,"Validation"
"45",2020-05-01,"NA",55.4050237097292,2.73893668786893e-05,346.452675650004,"Validation"
"46",2020-05-02,"NA",52.8035430457444,2.31510416154702e-05,330.232567951364,"Validation"
"47",2020-05-03,"NA",50.3154157483478,1.92696260865285e-05,314.660463711847,"Validation"
"48",2020-05-04,"NA",47.9167426516235,1.61356408262756e-05,299.598752912258,"Validation"
"49",2020-05-05,"NA",45.622763154005,1.34853230300214e-05,285.145070337746,"Validation"
"50",2020-05-06,"NA",43.4271906927701,1.13777444209774e-05,271.268022545658,"Validation"
"51",2020-05-07,"NA",41.331787904839,9.55849159910225e-06,257.985096958568,"Validation"
"52",2020-05-08,"NA",39.3313482079202,7.90529058226522e-06,245.270589913186,"Validation"
"53",2020-05-09,"NA",37.4224754749406,6.66394079383022e-06,233.106694730275,"Validation"
"54",2020-05-10,"NA",35.6018085494457,5.54867928866322e-06,221.47505333466,"Validation"
"55",2020-05-11,"NA",33.8688682894562,4.68513773427992e-06,210.377535138652,"Validation"
"56",2020-05-12,"NA",32.2219223579276,3.86404165833957e-06,199.810440847953,"Validation"
"57",2020-05-13,"NA",30.6587140926203,3.19946101229362e-06,189.945758164711,"Validation"
"58",2020-05-14,"NA",29.1680434844567,2.64889289038178e-06,181.899296779173,"Validation"
"59",2020-05-15,"NA",27.7552787232301,2.18807017712631e-06,174.18794570511,"Validation"
