"","time","date","observed","estimate","estimate.lb","estimate.ub","phase"
"1",1,03/17/20,424,505.301727094542,347.233710682836,662.825044723962,"Training"
"2",2,03/18/20,1008,924.022632390819,569.630521450024,1130.4501010911,"Training"
"3",3,03/19/20,1770,1583.07768278849,1177.3897821792,1986.2098061741,"Training"
"4",4,03/20/20,2950,2328.44725336147,1365.90457101327,3269.88242784173,"Training"
"5",5,03/21/20,3254,2669.21054905328,1100.09173389899,4535.28421824723,"Training"
"6",6,03/22/20,4812,3233.32083015702,0,15258.4553616884,"Validation"
"7",7,03/23/20,5707,4023.44642519763,183.545227830788,13687.5949277075,"Validation"
"8",8,03/24/20,4790,4956.31890434153,0,17321.9427646322,"Validation"
"9",9,03/25/20,7401,6096.38716351464,0,23218.9787799528,"Validation"
"10",10,03/26/20,5921,7221.31430061379,132.381023445481,30978.3374953999,"Validation"
"11",11,03/27/20,5648,8740.458327697,0,47809.9240837911,"Validation"
"12",12,03/28/20,8728,10612.6533129063,0,46503.3468240203,"Validation"
"13",13,03/29/20,6205,12307.5110304347,0,73746.247413352,"Holdout"
"14",14,03/30/20,7606,14511.3398597399,0,75186.9303106713,"Holdout"
"15",15,03/31/20,8658,16699.9148487438,12.2893076496584,96260.5221125047,"Holdout"
"16",16,04/01/20,8057,18594.471563008,0,127999.190437267,"Holdout"
"17",17,04/02/20,8492,20830.2688327565,0,114324.489648756,"Holdout"
"18",18,04/03/20,10489,22577.635692496,0,170779.498627593,"Holdout"
"19",19,04/04/20,12126,24094.4911292531,0,141319.865777494,"Holdout"
"20",20,04/05/20,7915,25160.1600290132,0,213519.069737009,"Holdout"
"21",21,04/06/20,7778,26102.2179196586,16.472765443544,166346.508311454,"Holdout"
"22",22,04/07/20,9392,26724.3943616692,74.2918147940135,152083.121404467,"Holdout"
"23",23,04/08/20,9320,26651.6911907603,0,210801.109739322,"Holdout"
"24",24,04/09/20,10536,27132.0274162145,0,233800.503455134,"Holdout"
"25",25,04/10/20,10575,26152.7935189966,22.8599573816313,207767.082790355,"Holdout"
"26",26,04/11/20,9946,26059.2842346112,0,182277.407462283,"Holdout"
"27",27,04/12/20,8236,25362.0230933166,32.1736075097998,286820.187484867,"Holdout"
"28",28,04/13/20,6337,23890.508827543,0,165307.994173303,"Holdout"
"29",29,04/14/20,7177,23061.6377381732,0,189256.040832085,"Holdout"
"30",30,04/15/20,11571,21990.8273561367,7.0552941236918e-09,207850.038603379,"Holdout"
"31",31,04/16/20,8505,19678.4542404037,0,187022.779863777,"Holdout"
"32",32,04/17/20,7358,18565.7623361137,0,165036.503408633,"Holdout"
"33",33,04/18/20,7121,17849.8380324902,0,185111.557557837,"Holdout"
"34",34,04/19/20,6054,16202.1874957684,0,105435.822645014,"Holdout"
"35",35,04/20/20,4726,15373.7813316178,0,261737.225757913,"Holdout"
"36",36,04/21/20,4177,13614.4988522343,0,31242.2406068219,"Holdout"
"37",37,04/22/20,5526,12881.6132827998,0,129349.318462924,"Holdout"
"38",38,04/23/20,6214,11988.3324454485,0,59574.0308367968,"Holdout"
"39",39,04/24/20,8161,10791.7925574451,0,117308.917311351,"Holdout"
"40",40,04/25/20,10553,9833.65228571026,0,0,"Holdout"
"41",41,04/26/20,5902,8613.70526945832,0,100608.49996151,"Holdout"
"42",42,04/27/20,3951,7977.59272589465,0,86933.2946603617,"Holdout"
"43",43,04/28/20,3110,7357.2735650394,0,93954.6373286654,"Holdout"
"44",44,04/29/20,4585,5124.72540089238,0,49348.1868632063,"Holdout"
"45",45,04/30/20,4679,6114.32995322065,0,0,"Holdout"
"46",46,05/01/20,3944,5520.46705558335,0,98011.136139575,"Holdout"
"47",47,05/02/20,4663,5293.10975137102,0,62817.2192612818,"Holdout"
"48",48,05/03/20,NA,4607.3226212764,0,9465.46279847836,"Projection"
"49",49,05/04/20,NA,3501.3444468324,0,0,"Projection"
"50",50,05/05/20,NA,3718.56650101463,0,117283.70602139,"Projection"
"51",51,05/06/20,NA,3446.02115346952,0,0,"Projection"
"52",52,05/07/20,NA,3479.44687708034,0,172474.482065057,"Projection"
"53",53,05/08/20,NA,2699.56416430877,0,0,"Projection"
"54",54,05/09/20,NA,2661.68125911667,0,156988.483017143,"Projection"
"55",55,05/10/20,NA,2876.65349022843,0,10588.3786561234,"Projection"
"56",56,05/11/20,NA,2547.89517330918,0,0,"Projection"
"57",57,05/12/20,NA,1976.26018247883,0,78715.8230935412,"Projection"
"58",58,05/13/20,NA,1402.02140899681,0,17421.3357498825,"Projection"
"59",59,05/14/20,NA,1889.85181938259,0,15326.2711486657,"Projection"
"60",60,05/15/20,NA,1954.04866741628,0,66208.413634836,"Projection"
